tsai_sentences,wc
"In December, Mr. Trump briefly cast doubt on America's adherence to its One China policy, when he broke with longstanding practice by sharing a call with Ms. Tsai.",33
"Mr. Tsai, who has lived his whole life on Lieyu, says he was put off by the Democratic Progressive Party's failure to include Kinmen on its flag -- which depicts a green island of Taiwan on a white cross.",44
"''I was honored to meet with President Tsai Ing-wen of Taiwan today,'' Mr. Cruz said in a statement released after the meeting.",29
"I hope Ms. Tsai will talk with Ban Ki-moon as Taiwan's president to express the Taiwan people's wish to join the United Nations, as [former President] Chen Shui-bian did in 2007.",36
"While Ms. Tsai has visited the United States before, this was her first trip as president to New York, where Taiwan maintains a large unofficial consular and trade office just a few blocks from the United Nations.",41
"''Taiwan has traditionally been a patriarchal society,'' said Rebecca Chang, 45, who stood with a friend by the side of the road with LED signs reading ''Elect'' and ''Taiwan's First Woman President'' as Ms. Tsai's campaign motorcade drove through Taipei on Friday.",59
"Taiwan's deputy foreign minister, Miguel Tsao, announced on July 1 that Ms. Tsai would spend two nights in the United States before and after visiting the Caribbean countries of St. Vincent and the Grenadines, St. Lucia, St. Kitts and Nevis, and Haiti from Thursday to July 22.",57
"But in general, they still have higher incomes than most of the young voters who support Ms. Tsai, he said.",24
"Another commenter wrote: ''I will watch these women in 2016: Hillary Clinton, Aung San Suu Kyi and Tsai Ing-wen,'' referring to the Myanmar democracy leader and a candidate for the presidency of Taiwan.",42
"F Because of an editing error, an article in some editions on May 20 about the inauguration of Tsai Ing-wen as president of Taiwan referred imprecisely to the ''92 Consensus,'' which Chinese state media outlets have called on Ms. Tsai to endorse.",50
Hundreds of female doctors from across Taiwan took out a front-page advertisement in two local newspapers urging readers to support Ms. Tsai.,24
"Ms. Tsai, who took office in 2016, said during her campaign that she supported same-sex marriage, and her left-leaning Democratic Progressive Party, which took control of the legislature for the first time that year, also generally favors such legislation.",46
"The meeting on Sunday with Mr. Cruz, who lost to Mr. Trump in the Republican presidential primary contest, suggested that Ms. Tsai was looking to expand her ties to the Republican Party as it takes control of the White House and keeps its grip on Congress.",52
"The disclosures suggest that President-elect Trump's decision to take a call from the president of Taiwan, Tsai Ing-wen, was less a ham-handed diplomatic gaffe and more the result of a well-orchestrated plan by Taiwan to use the election of a new president to deepen its relationship with the United States -- with an assist from a seasoned lobbyist well versed in the machinery of Washington.",69
"Vice President-elect Mike Pence insisted on Sunday that people were reading too much into the conversation with President Tsai Ing-wen, and that Mr. Trump was simply accepting congratulations from the ''democratically elected leader of Taiwan.''",42
"Ms. Tsai's response ''looked very presidential'' to many Taiwanese, said Hans H.",19
"But even a nonbinding vote in favor of a Republic of Taiwan would put pressure on Ms. Tsai to take a more confrontational stance with the mainland, while giving Beijing more fodder with which to justify its own increasing pressure on her government.",46
"On Friday, Ms. Tsai reiterated her pledge to increase Taiwan's military spending and military development capabilities in the face of the threat from Beijing.",27
"In September, Ms. Tsai's government announced it would end all trade with North Korea.",17
"A call on Friday with the president of Taiwan, Tsai Ing-wen, appeared to be out of sync with four decades of United States policy toward China and prompted a Chinese call to the White House.",38
"''Another group of people arrived on these shores, and in the course of history, took everything from the first inhabitants who, on the land they have known most intimately, became displaced, foreign, non-mainstream and marginalized,'' Ms. Tsai said.",51
"In an interview, Mr. Tsai, who is also a former D.P.P. legislator and defense minister, discussed the alliance's plans.",25
"Shortly after it became apparent that the D.P.P. would lose crucial mayoral races, Ms. Tsai resigned her position as party leader, raising the possibility that she would be challenged for her party's nomination for the presidential election in January 2020.",45
"Wallace Gregson Jr., an American former general and assistant secretary of defense for Asian affairs who is now a consultant with Avascent Global Advisors, said that China's primary goal was to isolate Ms. Tsai's government.",40
"And in a pointed reference to China, Ms. Tsai said: ''I want to reiterate that Taiwan is not and will never be intimidated.''",31
"#Taiwan's new leader under fire for saying she has problem in speaking Chinese https://t.co/kP5vQVK0luhttps://t.co/rAMqNg7vy0[https://t.co/kP5vQVK0luhttps://t.co/rAMqNg7vy0] -- People's Daily,China (@PDChina) May 26, 2016 The Chinese news media focused on a stumble by Ms. Tsai in her meeting with Mr. Jadotte.",74
"Taiwan's tensions with China, with which it has developed expansive commercial ties, have grown under Ms. Tsai, who has been president since 2016.",28
